INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470869695242, 37347840, 1009, 81.3256938772312, 81.3256938772312);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471003912970, 37347840, 10059, 44.9544440601947, 44.9544440601947);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(992053910282, 37347840, 10066, 9.12346753108363, 9.12346753108363);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814815160586, 37347840, 10067, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814831937802, 37347840, 10065, 2, 2);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814848715018, 37347840, 10068, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814865492234, 37347840, 10069, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814882269450, 37347840, 1027, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814899046666, 37347840, 10070, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470651591434, 37347840, 1024, 12.763363, 12.763363);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470634814218, 37347840, 10056, 27.643768, 27.643768);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814949378314, 37347840, 1025, 1.000262, 1.000262);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814966155530, 37347840, 10064, 1.0646946, 1.0646946);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814982932746, 37347840, 1030, 20.622046, 20.622046);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1814999709962, 37347840, 10079, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815016487178, 37347840, 10080, 6.3761, 6.3761);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815033264394, 37347840, 10081, 12.577068, 12.577068);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815050041610, 37347840, 1028, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815066818826, 37347840, 10075, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815083596042, 37347840, 10076, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815100373258, 37347840, 10084, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815117150474, 37347840, 1029, 6.4035687, 6.4035687);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815133927690, 37347840, 10077, 10.051816, 10.051816);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815150704906, 37347840, 10094, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815167482122, 37347840, 10095, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815184259338, 37347840, 10093, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815201036554, 37347840, 1033, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815217813770, 37347840, 10090, 1.0426567, 1.0426567);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815234590986, 37347840, 10088, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815251368202, 37347840, 10089, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(614180674314, 37347840, 10032, 70.9181407581302, 70.9181407581302);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815284922634, 37347840, 10036, 27.09316, 27.09316);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815301699850, 37347840, 10040, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1359431186698, 37347840, 10018, 8.53759994191153, 8.53759994191153);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(789502581514, 37347840, 10031, 39.2367316240539, 39.2367316240539);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(875636808458, 37347840, 10073, 13.7202473107564, 13.7202473107564);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1568602938122, 37347840, 10092, 3.54398622713188, 3.54398622713188);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470819363594, 37347840, 1010, 17.3469970744396, 17.3469970744396);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815402363146, 37347840, 1011, 12.95423230262, 12.95423230262);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470701923082, 37347840, 1008, 86.5801738319606, 86.5801738319606);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1253241608970, 37347840, 1014, 51.6871485581692, 51.6871485581692);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471071021834, 37347840, 1015, 42.8851732453312, 42.8851732453312);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471054244618, 37347840, 10015, 72.5119243680135, 72.5119243680135);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(654536456458, 37347840, 10034, 10.268086, 10.268086);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(675702725386, 37347840, 10043, 21.7673298006229, 21.7673298006229);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1562093378314, 37347840, 10041, 14.46364, 14.46364);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471104576266, 37347840, 1016, 29.6408261974742, 29.6408261974742);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471087799050, 37347840, 10010, 23.5781502142174, 23.5781502142174);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(614163897098, 37347840, 10011, 10.1983951057707, 10.1983951057707);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815603689738, 37347840, 1017, 13.8137954998629, 13.8137954998629);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815620466954, 37347840, 10014, 7.7786508, 7.7786508);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815637244170, 37347840, 10012, 25.0455781897398, 25.0455781897398);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815654021386, 37347840, 10013, 1.1528065, 1.1528065);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1253224831754, 37347840, 1012, 32.0308440406531, 32.0308440406531);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1253208054538, 37347840, 10016, 46.50781650442, 46.50781650442);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1426936126218, 37347840, 10017, 46.9506742127161, 46.9506742127161);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(614147119882, 37347840, 1013, 73.8144888630976, 73.8144888630976);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(614130342666, 37347840, 10074, 57.2236428041204, 57.2236428041204);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470920026890, 37347840, 1018, 26.9252522664825, 26.9252522664825);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(665971940106, 37347840, 10038, 20.479055, 20.479055);
